Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
Lloyd 1.5 Ton 3 Star Inverter Split AC,58990.0,44%,32799.0,Lloyd,GLS18I3FWAMC,1.5 Tons,911 kWh,18-04-2023,https://amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAMC/dp/B0BRKXTSBT/ref=sr_1_4?qid=1681800303&s=kitchen&sr=1-4
LG 1.5 Ton 5 Star AI DUAL Inverter Split AC,75990.0,40%,45490.0,LG,RS-Q19YNZE,1.5 Tons,685.26 kWh,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q19YNZE/dp/B0BQ3MXML8/ref=sr_1_5?qid=1681800303&s=kitchen&sr=1-5
Panasonic 1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC,55400.0,33%,36990.0,Panasonic,CS/CU-SU18YKYWT,1.5 Tons,1002.72 kWh,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-SU18YKYWT/dp/B0BRJ5QH8G/ref=sr_1_6?qid=1681800303&s=kitchen&sr=1-6
Voltas 1.4 Ton 3 Star Inverter Split AC,70990.0,55%,31999.0,Voltas,173V Vectra Platina,1.4 Tons,1679.0 kWh,18-04-2023,https://amazon.in/Voltas-Adjustable-173V-Vectra-Platina/dp/B0BRJ7N92P/ref=sr_1_7?qid=1681800303&s=kitchen&sr=1-7
Carrier 1.5 Ton 3 Star AI Flexicool Inverter Split AC,67790.0,48%,34999.0,Carrier,CAI18ER3R32F0,1.5 Tons,964.1 kWh,18-04-2023,https://amazon.in/Carrier-Flexicool-Inverter-Convertible-Cleanser/dp/B0BR5812CL/ref=sr_1_8?qid=1681800303&s=kitchen&sr=1-8
Carrier 1.5 Ton 5 Star AI Flexicool Inverter Split AC,78490.0,46%,41999.0,Carrier,CAI18ES5R33F0,1.5 Tons,754.05 kWh,18-04-2023,https://amazon.in/Carrier-Flexicool-Convertible-Filtration-CAI18ES5R33F0/dp/B0BR59SY4M/ref=sr_1_9?qid=1681800303&s=kitchen&sr=1-9
LG 1 Ton 4 Star AI DUAL Inverter Split AC,61990.0,44%,34999.0,LG,RS-Q13JNYE,1 Tons,571.99 kWh,18-04-2023,https://amazon.in/LG-Inverter-Convertible-Protection-RS-Q13JNYE/dp/B0BPYN9JGF/ref=sr_1_10?qid=1681800303&s=kitchen&sr=1-10
"Voltas 1.5 Ton 3 Star, Fixed Speed Window AC",46990.0,38%,28999.0,Voltas,183 Vectra Pearl,1.5 Tons,1733.75 kWh,18-04-2023,https://amazon.in/Voltas-Window-183-Vectra-Pearl/dp/B0BSJ7KZLJ/ref=sr_1_11?qid=1681800303&s=kitchen&sr=1-11
Panasonic 1 Ton 5 Star Wi-Fi Inverter Smart Split AC,54600.0,30%,37990.0,Panasonic,CS/CU-NU12YKY5W,1 Tons,523.15 kWh,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-NU12YKY5W/dp/B0BRHYBC3D/ref=sr_1_12?qid=1681800303&s=kitchen&sr=1-12
Daikin 1.5 Ton 5 Star Inverter Split AC,67200.0,32%,45490.0,Daikin,MTKM50U,1.5 Tons,785.67 kWh,18-04-2023,https://amazon.in/Daikin-Inverter-Copper-Filter-MTKM50U/dp/B09R4RYCJ4/ref=sr_1_13?qid=1681800303&s=kitchen&sr=1-13
